precision_constraint,model_name,algorithm,best_threshold,review_threshold,pr_auc,roc_auc,precision,recall,f1,val_precision_at_best,val_recall_at_best,flag_rate_best,pct_allow,pct_review,pct_deny
0.75,Transactional,Logistic Regression,0.75,0.5,0.3342,0.5679,0.0,0.0,0.0,0.5,0.0056,0.003,0.021,0.976,0.003
0.75,Combined,Logistic Regression,0.75,0.5,0.3342,0.5682,0.0,0.0,0.0,0.5,0.0056,0.003,0.0315,0.9655,0.003
0.75,Transactional,Random Forest,0.8,0.3,0.4391,0.7224,0.0,0.0,0.0,0.625,0.0186,0.008,0.2595,0.7325,0.008
0.75,Combined,Random Forest,0.65,0.25,0.5681,0.7815,0.0,0.0,0.0,0.6911,0.3154,0.123,0.235,0.642,0.123
0.75,Transactional,Gradient Boosting,0.6,0.1,0.4498,0.7242,0.0,0.0,0.0,0.5667,0.0315,0.015,0.191,0.794,0.015
0.75,Combined,Gradient Boosting,0.5,0.1,0.5733,0.7806,0.0,0.0,0.0,0.6705,0.3284,0.132,0.211,0.657,0.132
0.8,Transactional,Logistic Regression,0.75,0.5,0.3342,0.5679,0.0,0.0,0.0,0.5,0.0056,0.003,0.021,0.976,0.003
0.8,Combined,Logistic Regression,0.75,0.5,0.3342,0.5682,0.0,0.0,0.0,0.5,0.0056,0.003,0.0315,0.9655,0.003
0.8,Transactional,Random Forest,0.8,0.3,0.4391,0.7224,0.0,0.0,0.0,0.625,0.0186,0.008,0.2595,0.7325,0.008
0.8,Combined,Random Forest,0.65,0.25,0.5681,0.7815,0.0,0.0,0.0,0.6911,0.3154,0.123,0.235,0.642,0.123
0.8,Transactional,Gradient Boosting,0.6,0.1,0.4498,0.7242,0.0,0.0,0.0,0.5667,0.0315,0.015,0.191,0.794,0.015
0.8,Combined,Gradient Boosting,0.5,0.1,0.5733,0.7806,0.0,0.0,0.0,0.6705,0.3284,0.132,0.211,0.657,0.132
