,amount,old_balance_origin,new_balance_origin,old_balance_dest,new_balance_dest,balance_drain_ratio,is_full_drain,dest_balance_unchanged
count,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
mean,417011.0598,10920010.8596,10578179.6353,1665620193.4136,1665708612.0889,0.3182,0.0639,0.0436
std,15814712.2487,565853067.2122,565635363.2487,57298905897.4845,57298908270.9691,2.0268,0.2446,0.2042
min,-0.9997,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0
25%,114.7415,0.0,0.0,0.0,803.4049,0.0,0.0,0.0
50%,9162.2487,0.6089,0.0,0.0,16131.8837,0.0021,0.0,0.0
75%,126496.2922,873.3994,272.8592,491.0778,209545.49,0.4676,0.0,0.0
max,1301216221.2233,54811511543.6064,54811391073.6236,4263159087218.253,4263159354139.056,128.9276,1.0,1.0
